anio,mes,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,estacion-uri,same_as_wikidata_estaciones,afluencia-media
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Chabacano,https://wikidata.org/entity/Q3317707,11055.866666666667
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Chilpancingo,https://wikidata.org/entity/Q3431073,42550.1
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Ciudad Deportiva,https://wikidata.org/entity/Q6824544,7511.166666666667
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Jamaica,https://wikidata.org/entity/Q3377006,10223.366666666667
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Lázaro Cárdenas,https://wikidata.org/entity/Q6824617,11916.8
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Mixiuhca,https://wikidata.org/entity/Q3431067,20478.266666666666
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Pantitlán,https://wikidata.org/entity/Q3352997,92323.66666666667
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Patriotismo,https://wikidata.org/entity/Q6824665,12662.6
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Puebla,https://wikidata.org/entity/Q6824679,31399.0
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Tacubaya,https://wikidata.org/entity/Q2744158,49230.333333333336
2010,--04,Linea 9,linea-9,Line 9,https://wikidata.org/entity/Q3239046,Velódromo,https://wikidata.org/entity/Q6824767,10303.466666666667
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Acatitla,https://wikidata.org/entity/Q6824469,14747.6
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Agrícola Oriental,https://wikidata.org/entity/Q8191806,10143.966666666667
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Canal de San Juan,https://wikidata.org/entity/Q6824517,12772.6
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Guelatao,https://wikidata.org/entity/Q6824577,17688.3
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,La Paz,https://wikidata.org/entity/Q6824608,31563.066666666666
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Los Reyes,https://wikidata.org/entity/Q6824612,21047.2
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Pantitlán,https://wikidata.org/entity/Q3352997,72615.53333333334
2010,--04,Linea A,linea-A,Mexico City Metro Line A,https://www.wikidata.org/wiki/Q3239049,Peñón Viejo,https://wikidata.org/entity/Q9058930,9924.233333333334
